,jobtitle,joburl,company,job_loc,job_search_term,Salary,job_desc,bracket,low_salary,high_salary,Position,senior,junior,Nomention,Freelance,Temporary,Contract,Permanent,Sal_Convert,Sal_Dur,Sal_Low,Sal_High,Sal_Avg
22,Customer Care Operator - Call Centre & Data Entry,https://au.indeed.com//rc/clk?jk=52133b33261030a0&fccid=5ccb8e829f6c8dd6&vjs=3,        Murdoch Childrens Research Institute,Melbourne+VIC,Data+Scientist,"                $57,010 - $59,632 a year"," -  a yearThe Victorian Clinical Genetics Services (VCGS) is a specialist childhood and adult genetics service. We offer a comprehensive range of genetic testing and clinical support services to thousands of individuals and families throughout Australia and the world.
VCGS, along with our parent company, the Murdoch Children’s Research Institute (MCRI), has the largest collective genetics expertise in the Southern Hemisphere. Our fully integrated research, diagnostic and clinical genetics service is unique and means patients and health professionals have access to leading technology.
What is it like to work for us?
We are a very diverse and inclusive organisation and we are inspired by people who are resourceful, imaginative, self-motivated, energised by making the world better, and who believe in the benefit of collective effort. Working here is interesting, challenging and rewarding. Our people are our biggest asset and we have a vast range of benefits to support them:
Salary packaging
Yoga, Pilates & Mindfulness sessions
On-site gym
Employee Assistance Program
Don’t take our word for it, check here what our employees are saying!
About the Opportunity
Customer Care Operator (Call Centre & Data Entry)
We currently require a Full Time Customer Care Operator (Call Centre & Data Entry) on a 12-month contract to join the Customer Care Group. The occupant of this role will be responsible for answering and logging phone enquiries and requests in a timely, professional manner as well as completing data entry for all requests received. Call Centre duties predominantly include phone reception, logging incoming and outgoing calls into the Labware LIMS call centre module and at the same time is expected to assist the rest of the team with data entry, photocopying, report send-out, filing etc. pertaining to all patient data and laboratory management.
The administration staff support the VCGS laboratories in the efficient functioning of the daily activities by answering doctor and clinic queries, mailing laboratory reports, organising disease folders for scientists, reviewing scanned images, producing test worksheets and troubleshooting where required. Highly developed interpersonal skills are fundamental in the position of Customer Care Operator within Laboratory Services. Operational staff must be able to work in a team environment and with minimal supervision under busy conditions. The hours of work required for this position is 0930-1730.
You will also be responsible for:
Staffing the reception area of the laboratory.
Answering the phone, effectively and efficiently.
Dealing with report requests from doctors, clinics and at times patients.
Developing a thorough understanding of the differences in all the Labs, their “release of patient information” (reporting) rules.
Responding to external phone or email enquiries regarding samples and test results and/or direct calls appropriately and logging these communications into Labware.
Completing data entry for all labs within VCGS serviced by the Customer Care Group is an important aspect of this role.
Select billing information.
Post-test administration, i.e. report generation and distribution.
Word processing and data input – knowledge of Labware LIMS, Word, Excel and Outlook.
 For a full list of responsibilities, please see position description.
Key Selection Criteria
To be successful in this role you will have:
Essential
Working with Children & National Police Clearance (if appointed) in compliance with the Victorian Governments Child Safety Standards.
A strong work ethic.
Experience in a Customer service role.
A conscientious and responsible approach to laboratory support work.
Critical eye for detail.
Demonstrated ability to assist and support change.
Ability to work to a high standard of speed and accuracy as is required in a diagnostic laboratory.
Ability to manage time effectively, problem identify and solve, prioritize tasks/workload.
Effective written and verbal communication skills.
Ability to work independently or within a team as required
General computer skills including familiarity with standard word processing programs
Desirable
Clerical qualifications
Experience in a Healthcare Service Industry, with an understanding of related issues within the environment
Only applicants who address the key selection criteria will be considered. Please place your responses to the key selection criteria at the end of your cover letter. For more information on this position please contact: Audrey Chong: audrey.chong@vcgs.org.au
Please note, applications will only be considered when submitted via the MCRI website. Please click apply to proceed with your application.
Salary Range :  – 59,632 per annum plus super
Closing Date : Wednesday 27 February 2019 5pm
Position Reference : 16034",Low,1,0,Not Mentioned,0,0,0,0,0,1,0,58321.0,year,57010.0,59632.0,58321.0
23,Research & Inquiries Analyst,https://au.indeed.com//rc/clk?jk=fc69b8ee2c4e9e83&fccid=a543c861a302771f&vjs=3,        Parliament of Victoria,Melbourne+VIC,Data+Scientist,"                $84,019 a year"," a yearDepartment of Parliamentary Services

About the role
The Parliamentary Library & Information Service has an ongoing fulltime position for an experienced researcher to provide quality, impartial information and research services to Members of Parliament, Electorate officers and Parliamentary staff.
Reporting to the Coordinator, Research & Inquiries, you will provide background information on a range of topics, contribute to the Parliamentary Library and Information Service regular publications and develop broad overviews of issues or portfolio areas.
About You
The successful candidate will demonstrate the ability to conduct a high level of research and writing skills, particularly in the areas of economics or law, to support the work of the Parliament under the direction of the Coordinator, Research & Inquiries.
Exceptional customer service skills to ensure timely and accurate information is provided to all client requests is essential. Proven skills in undertaking research, particularly in the areas of economics or law, are a requirement for this position.
Why Work With Us?
Whether you're working in the iconic heritage listed Parliament House building or in our adjacent open-plan, modern offices you'll have easy access to public transport, Melbourne's top retailers, cafes and restaurants, along with other lifestyle attractions available on the unique Collins Street and Spring Street precincts.
The Parliament of Victoria is committed to providing employees with flexible working conditions to support our employees in balancing their work and life commitments. You may also be eligible for annual discounts on various personal utilities, including myki pass and private health insurance.
Your professional development is important to us, that's why we have a dedicated learning and development framework, along with leadership development programs and targeted in-house training.
When you excel at your work and initiate innovative solutions or go above and beyond to demonstrate our values, you will be recognised for your efforts through our reward and recognition program.
Salary:  + 9.5% employer superannuation Term of Appointment: Ongoing, full time. Application Close: 22 February 2019.
Further Information: Carolyn Macvean, (03) 9651 8630
Re-employment restrictions may apply to recipients of VPS voluntary departure packages.
How to Apply
To submit an application which must address the key selection criteria listed in the position description and include a resume and covering letter, please click on the ""Apply Now"" button.",Low,1,0,Not Mentioned,0,0,0,0,0,0,0,84019.0,year,84019.0,84019.0,84019.0
24,Data Engineer,https://au.indeed.com//rc/clk?jk=a0370a6ac12a7003&fccid=3c9bc1385272ea26&vjs=3,        FourQuarters,Melbourne+VIC,Data+Scientist,"                $1,000 a week","Melbourne VICContract a weekData Engineer required to build applications to support data science techniques for a digital business. As a Data Engineer, you will be responsible for:
partnering with Engineers, Product Managers and Data Scientists to build tools to support the implementation of predictive modelling and ML techniques
assisting with the transition of the business from on-premise to Cloud-based infrastructure
Required skills:
strong R and Python programming skills, as well as solid experience around databases and web services
experience building data applications, particularly in a Cloud (AWS) environment
experience with AI and ML techniques
If you have the required skills and experience, click on the 'Apply' button or call Sabina Ahuja on (03)99828478",Low,1,0,Not Mentioned,0,0,0,0,0,1,0,50000.0,week,1000.0,1000.0,1000.0
25,Imaging Physicist(Medical Physics Specialist)-Liverpool Hospital-Perm F/T,https://au.indeed.com//rc/clk?jk=2a0bafa60231f464&fccid=c026e53264a0df95&vjs=3,        South Western Sydney Local Health District,Brisbane+QLD,Data+Scientist,"                $114,777 - $175,983 a year","Sydney Western Suburbs NSWPermanent -  a yearEmployment Type: Permanent Full Time
Position Classification: Medical Physics Specialist
Remuneration:  -  per annum
Hours Per Week: 38
Requisition ID: REQ91019


Please note: To be eligible for permanent appointment to a position in NSW Health, you must have an Australian citizenship or permanent Australian residency.

South Western Sydney is an exciting, interesting and dynamic place to live and work. South Western Sydney is home to a mixture of metropolitan and rural communities which is culturally diverse. South Western Sydney has a very significant Aboriginal and Torres Strait Islander Community, especially in Campbelltown, Wollondilly, Camden, Wingecarribee and Liverpool.
Transforming Your Experience is SWSLHDs key strategy to positively transform how our patients, consumers, staff and communities experience our organisation and services. Our vision is that our care is always safe, high quality and personalised and all our staff are supported and empowered to achieve their full potential. SWSLHD upholds the CORE Values – Collaboration, Openness, Respect and Empowerment. The Transforming Your Experience Strategy provides us with a clear direction for working together to deliver safe and high quality health services and build the health of our communities – now and into the future.

Equal Employment Opportunity:
South Western Sydney Local Health District is an equal opportunity employer committed to providing a working environment that embraces and values diversity and inclusion. Aboriginal and Torres Strait Islander people and people with disability are encouraged to apply for all internal and externally advertised positions. If you require assistance, please advise the contact person at the time of your application.

Where you'll be working:
Liverpool Hospital is the major health service for South Western Sydney providing services to the local government area of Liverpool City Council as well as district services to residents and visitors in the area. It also provides a range of statewide services in areas such as critical care and trauma, neonatal intensive care and brain injury rehabilitation.
Liverpool City and South Western Sydney is home to people from diverse cultures, religions and languages, making our community vibrant and exciting. We are situated in one of the fastest-growing regions in Australia and sit within an education and health precinct which includes the Ingham Institute of Applied Medical Research, a Clinical Skills and Simulation Centre, the Clinical Schools of the University of NSW and University of Western Sydney, Sydney South West.

What you'll be doing

Provide management and scientific support for patient treatment and radiotherapy imaging equipment maintenance, including treatment planning, radiation safety, radiation dosimetry, and research and development.

The Medical Physics department of SWSLHDCS has a very active group of 16 Medical Physics Specialists & 4 physics registrars working across two radiotherapy centres. The department has a dedicated 3T MRI scanner, supporting clinical MRI use and with 50% of scanner time dedicated to clinical and development MRI research. This position has been created to provide clinical expertise in imaging physics and especially to advance the development and integration of MR imaging into routine radiotherapy workflows.

The successful candidate will lead and undertake work across the spectrum of clinical, development, research and educationalactivities of the physics group. This position will primarily be located at Liverpool Cancer Therapy Centre (LCTC) at Liverpool Hospital but the successful candidate may be required to travel to the Macarthur Cancer Therapy Centre (MCTC) at Campbelltown Hospital to cover for meetings,education purposes, developmen opportunities and temporary staff shortages.
The successful applicant will be expected to provide expertise and leadership in imaging physics, particularly MRI physics, across a full range of clinical activities in a busy and progressive radiation oncology service. The department will continue to expand and adopt the latest technology. Research, clinical development and implementation is supported by multi-disciplinary treatment site groups. There is a significant focus on research in the department and involvement with the Ingham Institute which is located next to the clinic is actively supported. All staff are encouraged to undertake research including involvement in research collaborations, publications and grant submissions.

The Ingham Medical Physics team is comprised of a number of full-time staff and many students and is supported by strong university collaborations and both internal and competitive external grant funding. Research areas across the clinical & Ingham teams are varied but the key focus over the next few years will be aligned with imaging technologies (e.g. use of MRI in radiotherapy) and development of the Australian MRI linac. There are established research programmes in data mining, EPIbased dosimetry and assessment and mitigation of uncertainties in radiotherapy planning and treatment. Liverpool Hospital is a teaching hospital and a tertiary referral hospital that serves Sydney South West. LCTC opened there in 1995 and is equipped with four accelerators with various combinations of kV and MV imaging, Siemens 3T MRI scanner, and a Philips Big Bore CT scanner, among other treatment, computing, quality assurance and dosimetry systems.

Campbelltown Hospital is a teaching hospital and a tertiary referral hospital that serves Sydney South West. MCTC opened there in 2002 and is currently equipped with two accelerators, and a Philips Big Bore CT scanner. As well as computing, quality assurance and dosimetry systems. Both Cancer Therapy sites are included in redevelopment projects in the coming years and under these projects the departments will get new or refurbished facilities and additional treatment capacity.
A Bachelors degrees in physics, medical physics or a relevant field from a tertiary institution in Australia or equivalent from overseas, per National Office of Overseas Skills Recognition (NOOSR) requirements.
A PhD degree in physics, medical physics or a relevant field from a tertiary institution in Australia or equivalent from overseas (per NOOSR requirements).
Certification in Diagnostic Imaging Medical Physics from the Australasian College of Physical Scientists and Engineers in Medicine (ACPSEM) . International candidates eligible for Registration by the ACPSEM, or candidates who have completed the ACPSEM Training Education and Assessment Program (TEAP) written exam and expect to be certified within 6 months, can also apply.
Extensive MRI physics experience in a clinical environment, with evidence of an ability to provide MR imaging advice.
A research track record in MR imaging.
Evidence of oral and written communication skills and ability to work effectively both in a multi-disciplinary team as well as independently.
Maintain a current NSW Environment Protection Authority Radiation User Licence for Medical Physics.

Need more information?
 1) Click here for the Position Description
 2) Find out more about applying for this position
For role related queries or questions contact Gary Goozee on 02 8738 9410 or email Gary.Goozee@health.nsw.gov.au

If you are an Aboriginal person and wish to obtain more information about applying for a role within South Western Sydney Local Health District, please contact our Aboriginal Employment Coordinator, Helen Orcher, on 02 8738 5933 or our Aboriginal Workforce Manager, Tania Bonham, on 02 8738 5713 or email SWSLHD-AboriginalWorkforce@health.nsw.gov.au.

Applications Close: 10/03/2019
Interview date range: 11/03/2019 - 15/03/2019",High,0,1,Not Mentioned,0,0,0,0,0,0,1,145380.0,year,114777.0,175983.0,145380.0
26,Data Engineer,https://au.indeed.com//rc/clk?jk=a0370a6ac12a7003&fccid=3c9bc1385272ea26&vjs=3,        FourQuarters,Brisbane+QLD,Data+Scientist,"                $1,000 a week"," a weekContractData Engineer required to build applications to support data science techniques for a digital business. As a Data Engineer, you will be responsible for:
partnering with Engineers, Product Managers and Data Scientists to build tools to support the implementation of predictive modelling and ML techniques
assisting with the transition of the business from on-premise to Cloud-based infrastructure
Required skills:
strong R and Python programming skills, as well as solid experience around databases and web services
experience building data applications, particularly in a Cloud (AWS) environment
experience with AI and ML techniques
If you have the required skills and experience, click on the 'Apply' button or call Sabina Ahuja on (03)99828478",Low,1,0,Not Mentioned,0,0,0,0,0,1,0,50000.0,week,1000.0,1000.0,1000.0
27,Freelance Data Scientist,https://au.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DGsOZar0RiN3PjhOpMNyqCW7rY50_G-LIvtrvnP45epBlPVMvQk6CM6QiIM8qIIDoc3dx4M-Lyeh5N1Bsr_0aRRSMHgDOo3ix6zRAeGIh9r6Gb_RUlEqs4LnnPMRMpdbcbAgX6ic_EGGCGlsqDxZ9WE3hrKYlb6fCpiHdVTaV1Lv3elbf2EQIED4Oc3smsUHz95wXu4wr2j9HXdVvRdCaprLYbFWP7KzdK_rKz9TOV8DB3FwLVL7p0dVI9vvCsQnvlAT8hd-fmOy-68H56SiHGcgHX9m_W3CPR4c8c52vGmwv1BWifDX9MF7Q9mu7Qt5xzFsxWaFZzlePZLTP-tUO04LsSL6CeW-9rMvtsTbn7cgmQgLAwEkUvaycXto0eF-X197WKJ0RRz19oo0AfodRDR57YISQT9EueC2LMcM7_2EtsdXxd6-uH&vjs=3&p=1&sk=&fvj=1,        mOOvement,Brisbane+QLD,Data+Scientist,"                $90,000 - $110,000 a year"," -  a yearPart-time, Temporary, Contract, Commission, SubcontractmOOvement is looking for a freelance Data Scientist!mOOvement is the first commercially available cattle tracking start-up with a mission to optimise the food sector. We use IoT technology to create a world where food is produced in a smart, productive, and sustainable manner. Using our smart GPS ear-tags we collect the location of livestock and use the data collected to provide producers with meaningful insights and alerts via our iOS app.Our ambition is to transform data into actionable insights for every part of the global food supply chain. We want to realize this by: empowering cattle producers with real-time data on their livestock, providing more valuable insights by integrating partner data, and becoming the essential source of cattle data to the wider food supply chainWe are a team of 5 young professionals; the team is small but dynamic and fast growing. We are a corporate start-up and we will become a spin out in the upcoming year.For the next phase in our growing start up we are looking for a Senior Data Scientist to join our team in Brisbane, QLD, Australia.We offer: Do you want to be part of a young and dynamic team with a flat organisation style in the city centre of Brisbane, QLD, Australia? Then this is the job for you! You will be responsible for mOOvement’s whole data analysis and be the team's data expert. You will get the opportunity to help steer a vibrant start-up using data. Your expertise will be a key component in the company’s strategic development. Apart from decent analytical skills, for this role it's important that you have strong communication skills and are able to adapt to internal team and external stakeholder/client communication. As Senior Data Analyst, you will help think of new ways to use the gathered data and the way this can bring value. You will be our primary Data Scientist, so there will be a lot of freedom to form your own role.Tasks and responsibilities includeCreate new uses of the data we gather from our mOOvement GPS eartags to help producers better manage and care for their cattle.Present findings and recommend actions obtained from data in an easily digestible way to the mOOvement team to help steer our product and company.Help automatically measure the performance of our tags and identify potential issues.Key competencies and requirementsAble to communicate effectively with non-technical audiences and provide expert advice.Strong analytical abilities and a solid understanding of statistics.Extensive expertise in statistical analysis, big data, and machine learning.Experience with integrating data into existing services. For example, deploying a machine learning model and integrating this with existing systems or making analyses available for end-users.Familiarity with relevant languages and tools like Python, SQL (Athena/Presto, Postgres), Spark.Degree in Artificial Intelligence, Mathematics, Computer Science, or other relevant fields.Bonus competenciesFamiliarity with cow or animal behaviour studies, having a farming background.Experience with working in a start-up.Familiarity with:AWS (EC2, S3, RDS, Athena, EMR)Applying analytics to location dataAdditional InformationThis is a part-time contractThis role is based in Brisbane, QLD, Australia.We are pro-flexible workingWant to find out more about mOOvement? Visit www.moovement.com.auWant to find out more about this role? Do not hesitate to contact Marlies de Kock or +61 475 383 141.Job Types: Part-time, Temporary, Contract, Commission, SubcontractSalary: .00 to .00 /year",Low,1,0,Senior,1,0,0,0,0,1,0,100000.0,year,90000.0,110000.0,100000.0
28,Research Assistant / Postdoctoral Scientist,https://au.indeed.com//rc/clk?jk=1661545c6ae4b924&fccid=cbc05756b2b721ec&vjs=3,        QIMR Berghofer,Brisbane+QLD,Data+Scientist,"                $67,400 - $86,363 a year","Brisbane QLD -  a yearResearch Assistant / Postdoctoral Scientist
About QIMR Berghofer:

QIMR Berghofer is a world-leading translational medical research institute focused on improving health by developing new diagnostics, better treatments and prevention strategies, specifically in the areas of cancer, infectious diseases, mental health and chronic disorders. Based in Herston, Brisbane and working in close collaboration with clinicians and other research institutes, QIMR Berghofer is home to more than 600 scientists, students and support staff.

About the Conjoint Gastroenterology Laboratory:

The Conjoint Gastroenterology Laboratory identifies genetic and epigenetic changes that define distinct subtypes of colon cancers and premalignant polyps with the aim of predicting clinical behaviour and personalised treatment strategies. Collaboration with gastroenterologists, pathologists and oncologists is a key aspect of our research.

Role Purpose / Responsibilities :

The successful applicant will be expected to:

work as part of a team to elucidate disease mechanisms and targeted therapies
work with in vitro and in vivo tumor models.
perform cell isolation, characterization and monitoring of functional cellular responses using standard molecular biology protocols
culture organoids
contribute to laboratory management
perform immunohistochemistry and microscopy
develop ideas independently, develop strategies to design and conduct experiments and analyze and interpret data
record all experimental protocols and observations / interpretations in a timely manner
contribute to high impact publications in peer-reviewed journals
About you:

The successful applicant will have a minimum of an undergraduate degree in science with Honours Class I. The following skills and qualities would be an advantage:

Experience working with murine tumour models including administering drugs, isolation and characterisation of tumour cells
Experience in tissue sectioning and imaging
Experience in molecular biology protocols including CRISPR/Cas9 editing
Experience in lentiviral production and transduction
Ability to work independently and develop collaborative working relationships with other team members
Experience in drafting manuscripts
Highly self-motivated and career oriented individual with a genuine interest in disease mechanisms and a goal to develop novel approaches to improving outcomes for patients with cancer
What we offer:

Salary Packaging
Bonus Superannuation
State of the art facilities
Stimulating work setting focussed on cutting edge medical research
Supportive/collaborative team environment",Low,1,0,Not Mentioned,0,0,0,0,0,0,0,76881.5,year,67400.0,86363.0,76881.5
29,Research Assistant / Postdoctoral Scientist,https://au.indeed.com//rc/clk?jk=a9b60197348cb13a&fccid=ab186865deb4da7a&vjs=3,        QIMR Berghofer Medical Research Institute,Brisbane+QLD,Data+Scientist,"                $67,400 - $86,363 a year"," -  a yearAbout QIMR Berghofer:

QIMR Berghofer is a world-leading translational medical research institute focused on improving health by developing new diagnostics, better treatments and prevention strategies, specifically in the areas of cancer, infectious diseases, mental health and chronic disorders. Based in Herston, Brisbane and working in close collaboration with clinicians and other research institutes, QIMR Berghofer is home to more than 600 scientists, students and support staff.

About the Conjoint Gastroenterology Laboratory:

The Conjoint Gastroenterology Laboratory identifies genetic and epigenetic changes that define distinct subtypes of colon cancers and premalignant polyps with the aim of predicting clinical behaviour and personalised treatment strategies. Collaboration with gastroenterologists, pathologists and oncologists is a key aspect of our research.

Role Purpose / Responsibilities :

The successful applicant will be expected to:

work as part of a team to elucidate disease mechanisms and targeted therapies
work with in vitro and in vivo tumor models.
perform cell isolation, characterization and monitoring of functional cellular responses using standard molecular biology protocols
culture organoids
contribute to laboratory management
perform immunohistochemistry and microscopy
develop ideas independently, develop strategies to design and conduct experiments and analyze and interpret data
record all experimental protocols and observations / interpretations in a timely manner
contribute to high impact publications in peer-reviewed journals

About you:

The successful applicant will have a minimum of an undergraduate degree in science with Honours Class I. The following skills and qualities would be an advantage:

Experience working with murine tumour models including administering drugs, isolation and characterisation of tumour cells
Experience in tissue sectioning and imaging
Experience in molecular biology protocols including CRISPR/Cas9 editing
Experience in lentiviral production and transduction
Ability to work independently and develop collaborative working relationships with other team members
Experience in drafting manuscripts
Highly self-motivated and career oriented individual with a genuine interest in disease mechanisms and a goal to develop novel approaches to improving outcomes for patients with cancer

What we offer:
Salary Packaging
Bonus Superannuation
State of the art facilities
Stimulating work setting focussed on cutting edge medical research
Supportive/collaborative team environment
Salary:
Salary range is  to  per annum. This is a full-time appointment for 12 months, with the possibility of extension subject to funding availability.
To Apply:
Click on the “Apply” button on the positions vacant page.
Applications should address the selection criteria and include curriculum vitae, proof of qualifications, and the names and contact details of three professional referees.
Closing Date:
25 February 2019
Further Information:
Contact A/Prof Vicki Whitehall on (07) 3362 0170 or Vicki.Whitehall@qimrberghofer.edu.au",Low,1,0,Not Mentioned,0,0,0,0,0,0,0,76881.5,year,67400.0,86363.0,76881.5
30,Customer Care Operator - Call Centre & Data Entry,https://au.indeed.com//rc/clk?jk=52133b33261030a0&fccid=5ccb8e829f6c8dd6&vjs=3,        Murdoch Childrens Research Institute,Perth+WA,Data+Scientist,"                $57,010 - $59,632 a year","Parkville VIC -  a yearThe Victorian Clinical Genetics Services (VCGS) is a specialist childhood and adult genetics service. We offer a comprehensive range of genetic testing and clinical support services to thousands of individuals and families throughout Australia and the world.
VCGS, along with our parent company, the Murdoch Children’s Research Institute (MCRI), has the largest collective genetics expertise in the Southern Hemisphere. Our fully integrated research, diagnostic and clinical genetics service is unique and means patients and health professionals have access to leading technology.
What is it like to work for us?
We are a very diverse and inclusive organisation and we are inspired by people who are resourceful, imaginative, self-motivated, energised by making the world better, and who believe in the benefit of collective effort. Working here is interesting, challenging and rewarding. Our people are our biggest asset and we have a vast range of benefits to support them:
Salary packaging
Yoga, Pilates & Mindfulness sessions
On-site gym
Employee Assistance Program
Don’t take our word for it, check here what our employees are saying!
About the Opportunity
Customer Care Operator (Call Centre & Data Entry)
We currently require a Full Time Customer Care Operator (Call Centre & Data Entry) on a 12-month contract to join the Customer Care Group. The occupant of this role will be responsible for answering and logging phone enquiries and requests in a timely, professional manner as well as completing data entry for all requests received. Call Centre duties predominantly include phone reception, logging incoming and outgoing calls into the Labware LIMS call centre module and at the same time is expected to assist the rest of the team with data entry, photocopying, report send-out, filing etc. pertaining to all patient data and laboratory management.
The administration staff support the VCGS laboratories in the efficient functioning of the daily activities by answering doctor and clinic queries, mailing laboratory reports, organising disease folders for scientists, reviewing scanned images, producing test worksheets and troubleshooting where required. Highly developed interpersonal skills are fundamental in the position of Customer Care Operator within Laboratory Services. Operational staff must be able to work in a team environment and with minimal supervision under busy conditions. The hours of work required for this position is 0930-1730.
You will also be responsible for:
Staffing the reception area of the laboratory.
Answering the phone, effectively and efficiently.
Dealing with report requests from doctors, clinics and at times patients.
Developing a thorough understanding of the differences in all the Labs, their “release of patient information” (reporting) rules.
Responding to external phone or email enquiries regarding samples and test results and/or direct calls appropriately and logging these communications into Labware.
Completing data entry for all labs within VCGS serviced by the Customer Care Group is an important aspect of this role.
Select billing information.
Post-test administration, i.e. report generation and distribution.
Word processing and data input – knowledge of Labware LIMS, Word, Excel and Outlook.
 For a full list of responsibilities, please see position description.
Key Selection Criteria
To be successful in this role you will have:
Essential
Working with Children & National Police Clearance (if appointed) in compliance with the Victorian Governments Child Safety Standards.
A strong work ethic.
Experience in a Customer service role.
A conscientious and responsible approach to laboratory support work.
Critical eye for detail.
Demonstrated ability to assist and support change.
Ability to work to a high standard of speed and accuracy as is required in a diagnostic laboratory.
Ability to manage time effectively, problem identify and solve, prioritize tasks/workload.
Effective written and verbal communication skills.
Ability to work independently or within a team as required
General computer skills including familiarity with standard word processing programs
Desirable
Clerical qualifications
Experience in a Healthcare Service Industry, with an understanding of related issues within the environment
Only applicants who address the key selection criteria will be considered. Please place your responses to the key selection criteria at the end of your cover letter. For more information on this position please contact: Audrey Chong: audrey.chong@vcgs.org.au
Please note, applications will only be considered when submitted via the MCRI website. Please click apply to proceed with your application.
Salary Range :  – 59,632 per annum plus super
Closing Date : Wednesday 27 February 2019 5pm
Position Reference : 16034",Low,1,0,Not Mentioned,0,0,0,0,0,1,0,58321.0,year,57010.0,59632.0,58321.0
31,Research Assistant / Postdoctoral Scientist,https://au.indeed.com//rc/clk?jk=1661545c6ae4b924&fccid=cbc05756b2b721ec&vjs=3,        QIMR Berghofer,Perth+WA,Data+Scientist,"                $67,400 - $86,363 a year"," -  a yearResearch Assistant / Postdoctoral Scientist
About QIMR Berghofer:

QIMR Berghofer is a world-leading translational medical research institute focused on improving health by developing new diagnostics, better treatments and prevention strategies, specifically in the areas of cancer, infectious diseases, mental health and chronic disorders. Based in Herston, Brisbane and working in close collaboration with clinicians and other research institutes, QIMR Berghofer is home to more than 600 scientists, students and support staff.

About the Conjoint Gastroenterology Laboratory:

The Conjoint Gastroenterology Laboratory identifies genetic and epigenetic changes that define distinct subtypes of colon cancers and premalignant polyps with the aim of predicting clinical behaviour and personalised treatment strategies. Collaboration with gastroenterologists, pathologists and oncologists is a key aspect of our research.

Role Purpose / Responsibilities :

The successful applicant will be expected to:

work as part of a team to elucidate disease mechanisms and targeted therapies
work with in vitro and in vivo tumor models.
perform cell isolation, characterization and monitoring of functional cellular responses using standard molecular biology protocols
culture organoids
contribute to laboratory management
perform immunohistochemistry and microscopy
develop ideas independently, develop strategies to design and conduct experiments and analyze and interpret data
record all experimental protocols and observations / interpretations in a timely manner
contribute to high impact publications in peer-reviewed journals
About you:

The successful applicant will have a minimum of an undergraduate degree in science with Honours Class I. The following skills and qualities would be an advantage:

Experience working with murine tumour models including administering drugs, isolation and characterisation of tumour cells
Experience in tissue sectioning and imaging
Experience in molecular biology protocols including CRISPR/Cas9 editing
Experience in lentiviral production and transduction
Ability to work independently and develop collaborative working relationships with other team members
Experience in drafting manuscripts
Highly self-motivated and career oriented individual with a genuine interest in disease mechanisms and a goal to develop novel approaches to improving outcomes for patients with cancer
What we offer:

Salary Packaging
Bonus Superannuation
State of the art facilities
Stimulating work setting focussed on cutting edge medical research
Supportive/collaborative team environment",Low,1,0,Not Mentioned,0,0,0,0,0,0,0,76881.5,year,67400.0,86363.0,76881.5
